Name,Start Date,End Date
Hacky New Year!,2023-10-03,2023-10-06
Design-a-thon,2023-10-02,2023-10-05
Support-a-thon,2023-10-01,2023-10-04
Hack-on-chain,2023-09-30,2023-10-03
FinHack 2,2023-09-29,2023-10-02
Thehacktrical 2,2023-09-28,2023-10-01
Hacks and Crafts 2,2023-09-27,2023-09-30
Do-Re-Mi Hacks 3,2023-09-26,2023-09-29
Neighborhood Hacks 2,2023-09-25,2023-09-28
Hack from the Past 2,2023-09-24,2023-09-27
Hacktoon 2,2022-09-03,2022-09-06
HibernationHacks,2022-08-27,2022-08-30
"See You Later, Hackulator",2022-08-20,2022-08-23
Hacky Winterland,2022-08-13,2022-08-16
MapHacks,2022-08-06,2022-08-09
Bon Hackétit 2.0,2022-07-30,2022-08-02
Hackcoming,2022-07-23,2022-07-26
Give Back Hacks 2.0,2022-07-16,2022-07-19
Back to Hacking,2022-07-09,2022-07-12
HackFit,2022-07-02,2022-07-05
Agent: Hacker,2022-06-25,2022-06-28
Hack-O-Lantern,2022-06-18,2022-06-21
Hack Around the World,2022-06-11,2022-06-14
PrideHacks,2022-06-04,2022-06-07
GardenHacks,2022-05-28,2022-05-31
SurfsUpHacks,2022-05-21,2022-05-24
HackGirlSummer 2.0,2022-05-14,2022-05-17
Hackcade,2022-05-07,2022-05-10
Mental Health Hacks,2022-04-30,2022-05-03
Neighborhood Hacks,2022-04-23,2022-04-26
HoudiniHacks,2022-04-16,2022-04-19
Hack At Home II,2022-04-09,2022-04-12
Hack-ccessible,2022-04-02,2022-04-05
FinHack,2022-03-26,2022-03-26
Hack From The Past,2021-03-26,2021-03-28
The Second H-Act,2021-03-19,2021-03-21
Tidy the Hack Up,2021-03-12,2021-03-14
CorgiHacks,2021-03-05,2021-03-07
Hackers of the Galaxy,2021-02-26,2021-02-28
Hack and Wellness,2021-02-19,2021-02-21
Hackthrob,2021-02-12,2021-02-14
Impractical Hackers,2021-02-05,2021-02-07
Hack APAC,2021-01-29,2021-01-31
Hack Your Portfolio,2021-01-22,2021-01-24
LHD Build,2021-01-15,2021-01-17
Snakes and Hackers,2021-01-08,2021-01-10
New Year New Hack,2021-01-01,2021-01-03
Holiday Hacks,2020-12-25,2020-12-27
Winter Hacklympics,2020-12-18,2020-12-20
Who done It Hacks?,2020-12-11,2020-12-13
SharkHacks,2020-12-04,2020-12-06
Who wants to be a hackionaire?,2020-11-27,2020-11-29
Give Back Hacks,2020-11-20,2020-11-22
Do-Re-Mi Hacks,2020-11-13,2020-11-15
Hacks and Crafts,2020-11-06,2020-11-08
Hack or Treat?,2020-10-30,2020-11-01
LHD Learn Placeholder,2020-10-24,2020-10-25
Hackrithmitic,2020-10-16,2020-10-18
"Lights, Camera, Hacktion!",2020-10-10,2020-10-11
HeroHacks,2020-10-02,2020-10-04
"New Friends, New Hacks",2020-09-26,2020-09-27
Aye aye Hackers,2020-09-18,2020-09-20
Bon Hackétit,2020-09-11,2020-09-13
First Day Back Hacks,2020-09-04,2020-09-06
Suns Out Hacks Out,2020-08-29,2020-08-30
Hackcon,2020-08-22,2020-08-23
YeeHaw Hacks,2020-08-14,2020-08-16
Roll for Hacking,2020-08-07,2020-08-09
To the Moon and Hack,2020-07-31,2020-08-02
Hacky Birthday MLH!,2020-07-25,2020-07-26
"HackItShipIt: 20,000 Summer Leagues Under the Sea",2020-07-17,2020-07-19
"New hack, who this?",2020-07-10,2020-07-12
Hackcation,2020-07-03,2020-07-05
Data Day Grind,2020-06-27,2020-06-28
Hack Girl Summer,2020-06-19,2020-06-21
Same Home Different Hacks,2020-06-12,2020-06-14
NotUniversity Hacks,2020-06-06,2020-06-07
RookieHacks,2020-05-29,2020-05-31
BackyardHacks,2020-05-22,2020-05-24
Hack the Chain,2020-05-16,2020-05-17
Hacklarious,2020-05-09,2020-05-10
Hack at Home,2020-05-02,2020-05-03
SustainHacks,2019-09-13,2019-09-16
Give Back Hacks 3,2019-09-12,2019-09-15
Hackcoming 2,2019-09-11,2019-09-14
HarvestHacks,2019-09-10,2019-09-13
Hack-cade 2,2019-09-09,2019-09-12
Agent: Hacker 2,2019-09-08,2019-09-11
Hack or Treat 2,2019-09-07,2019-09-10
BeagleHacks,2019-09-06,2019-09-09
RoboHacks 2,2019-09-05,2019-09-08
Slam Dunk Hacks 2,2019-09-04,2019-09-07
Hack and Wellness 2,2019-09-03,2019-09-06
DeepDiveHacks,2019-04-26,2019-04-29
YeeHaw Hacks 2,2019-04-25,2019-04-28
Hack and Snack,2019-04-24,2019-04-27
Shark Hacks 4,2019-04-23,2019-04-26
Teacher's Hack 2,2019-04-22,2019-04-25
Impractical Hackers 2,2019-04-21,2019-04-24
"See You Later, Hackulator 2",2019-04-20,2019-04-23
Hacky Winterland 2,2019-04-19,2019-04-22
AI Hacks,2019-04-18,2019-04-21
EduHacks,2019-04-17,2019-04-20
